Teks,Label
Hari ini berjalan dengan baik dan saya bahagia,0
Saya menikmati hari yang santai bersama keluarga,0
Saya tidak bisa tidur karena banyak pikiran,1
Saya merasa sangat bahagia hari ini setelah berjalan-jalan,0
Banyak tugas yang harus diselesaikan membuat saya cemas,1
Pekerjaan ini terlalu banyak dan melelahkan,2
Sistem komputer sering sekali mengalami gangguan,2
Lingkungan kerja di sini sangat tidak nyaman.,2
Gaji yang saya terima tidak sesuai dengan beban kerja.,2
Ruang kantor selalu berantakan dan kotor.,2
Rapat selalu molor dan tidak efisien.,2
Atasan saya tidak pernah menghargai usaha saya.,2
Internet di kantor ini sangat lambat.,2
Saya tidak pernah mendapat waktu istirahat yang cukup.,2
Rekan kerja saya sering sekali tidak kooperatif.,2
Aplikasi yang kita gunakan sangat sulit dipahami.,2
Proyek ini tidak memiliki perencanaan yang baik.,2
Jadwal kerja sangat tidak fleksibel.,2
Pelatihan yang diberikan tidak cukup membantu.,2
Beban kerja selalu meningkat tanpa ada kenaikan gaji.,2
Tidak ada penghargaan untuk kerja keras saya.,2
Lingkungan kerja di sini sangat beracun.,2
Saya selalu merasa cemas setiap kali ada evaluasi.,2
Proses perekrutan di perusahaan ini terlalu lama.,2
Kebijakan perusahaan sering kali tidak masuk akal.,2
Rekan kerja saya selalu membuat kesalahan.,2
Komunikasi di tim ini sangat buruk.,2
Proyek ini tidak memiliki arahan yang jelas.,2
Saya merasa tidak pernah mendapatkan apresiasi.,2
Alat kerja yang diberikan sangat tidak memadai.,2
Ruang kerja sangat bising dan mengganggu konsentrasi.,2
Perusahaan ini tidak peduli dengan kesejahteraan karyawannya.,2
Tidak ada keseimbangan antara kerja dan kehidupan pribadi.,2
Saya merasa pekerjaan ini sangat membosankan.,2
Perjalanan dinas terlalu sering dan melelahkan.,2
Rekan kerja saya selalu terlambat.,2
Fasilitas kantor sangat minim dan tidak memadai.,2
Prosedur di perusahaan ini sangat birokratis.,2
Saya merasa tidak ada kesempatan untuk berkembang.,2
Pekerjaan ini tidak memberikan tantangan yang berarti.,2
Saya selalu merasa kelelahan setelah bekerja.,2
Meeting selalu berlangsung terlalu lama.,2
Tidak ada kejelasan dalam tugas yang diberikan.,2
Saya merasa tidak ada dukungan dari manajemen.,2
Lingkungan kerja sangat kompetitif dan tidak sehat.,2
Proyek ini selalu mengalami penundaan.,2
Saya merasa tidak pernah mendapatkan pelatihan yang cukup.,2
Atasan saya sangat tidak komunikatif.,2
Beban kerja terlalu berat dan tidak realistis.,2
Kantor selalu penuh dan sesak.,2
Tidak ada insentif untuk bekerja lebih keras.,2
Rekan kerja saya selalu mengambil kredit atas kerja saya.,2
Saya selalu merasa tidak dihargai.,2
Kondisi kerja sangat tidak ergonomis.,2
Saya merasa stres setiap kali harus bekerja lembur.,2
Proyek ini memberikan tantangan baru yang menarik.,0
Saya merasa diberdayakan dengan tanggung jawab yang diberikan.,0
Tim kerja saya sangat mendukung dan kooperatif.,0
Saya mendapat kesempatan untuk belajar hal baru setiap hari.,0
Lingkungan kerja di sini sangat positif dan inspiratif.,0
Saya merasa dihargai atas kontribusi saya.,0
Gaji yang saya terima sepadan dengan usaha yang saya lakukan.,0
Kantor kami sangat nyaman dan modern.,0
Pelatihan yang diberikan sangat membantu pengembangan diri saya.,0
Jadwal kerja sangat fleksibel dan memudahkan.,0
Aplikasi yang kita gunakan sangat user-friendly.,0
Komunikasi di tim kami sangat efektif.,0
Proyek ini dikelola dengan sangat baik.,0
Saya selalu merasa termotivasi untuk bekerja.,0
Ruang kerja sangat tenang dan mendukung produktivitas.,0
Atasan saya selalu memberikan feedback yang konstruktif.,0
Internet di kantor sangat cepat dan stabil.,0
Saya selalu mendapat waktu istirahat yang cukup.,0
Kebijakan perusahaan sangat mendukung kesejahteraan karyawan.,0
Rekan kerja saya sangat kompeten dan profesional.,0
Saya merasa perusahaan ini memberikan banyak peluang karier.,0
Alat kerja yang disediakan sangat canggih dan efisien.,0
Lingkungan kerja sangat mendukung keseimbangan hidup.,0
Saya selalu merasa didukung oleh manajemen.,0
Proyek ini berjalan sesuai rencana.,0
Saya selalu merasa dihargai dan diapresiasi.,0
Atasan saya sangat komunikatif dan mendukung.,0
Beban kerja sangat seimbang dan realistis.,0
Ruang kerja sangat bersih dan nyaman.,0
Perusahaan ini sangat peduli dengan kesejahteraan karyawan.,0
Saya merasa pekerjaan ini sangat menyenangkan.,0
Perjalanan dinas memberikan pengalaman baru yang berharga.,0
Rekan kerja saya selalu tepat waktu.,0
Fasilitas kantor sangat lengkap dan memadai.,0
Prosedur di perusahaan ini sangat efisien.,0
Saya merasa ada banyak kesempatan untuk berkembang.,0
Pekerjaan ini memberikan tantangan yang berarti.,0
Saya selalu merasa segar dan bersemangat setelah bekerja.,0
Meeting selalu singkat dan tepat sasaran.,0
Tugas yang diberikan sangat jelas dan terarah.,0
Lingkungan kerja sangat kolaboratif dan menyenangkan.,0
Proyek ini selalu selesai tepat waktu.,0
Saya selalu mendapatkan pelatihan yang cukup.,0
Atasan saya sangat mendukung pengembangan diri saya.,0
Beban kerja sangat terukur dan dapat dikelola.,0
Kantor selalu rapi dan teratur.,0
Ada banyak insentif untuk bekerja lebih keras.,0
Rekan kerja saya selalu menghargai kontribusi saya.,0
Saya selalu merasa dihargai dan diperhatikan.,0
Kondisi kerja sangat ergonomis dan mendukung produktivitas.,0
Aku merasa sangat kehilangan sejak kami berpisah.,1
Hubungan kami semakin renggang dan aku merasa sangat sedih.,1
Aku tidak tahu bagaimana cara memperbaiki hubungan kami yang sudah hancur.,1
"Setiap kali mengingat kenangan bersama, aku merasa hampa.",1
Rasanya sakit sekali melihat dia bersama orang lain.,1
Aku merindukan momen-momen bahagia yang dulu kami alami.,1
Aku merasa sendirian dan tidak dicintai.,1
Pesan-pesan dari dia yang dulu membuatku tersenyum kini hanya membuatku menangis.,1
Aku merasa tidak ada harapan lagi untuk hubungan ini.,1
Setiap malam aku menangis memikirkan hubungan kami yang telah berakhir.,1
Aku merasa sangat terkhianati oleh orang yang paling kucintai.,1
Rasanya sulit sekali menjalani hari-hari tanpa dirinya.,1
Aku merasa sangat kesepian setelah perpisahan ini.,1
Aku tidak tahu bagaimana cara melupakan semua kenangan bersamanya.,1
"Setiap kali melihat foto-foto kami bersama, hatiku terasa hancur.",1
Aku merasa tidak ada yang mengerti perasaanku saat ini.,1
Aku merasa sangat hancur setelah dia memutuskan untuk pergi.,1
Aku merasa sangat terluka dan kecewa.,1
"Aku berharap kami bisa kembali seperti dulu, tapi sepertinya itu tidak mungkin.",1
"Setiap kali mendengar lagu yang kami suka, aku merasa sangat sedih.",1
Keluarga kami sedang menghadapi masalah besar dan aku merasa sangat tertekan.,1
Aku merasa sangat sedih melihat orang tuaku sering bertengkar.,1
Hubungan antara aku dan adikku semakin memburuk.,1
Aku merasa tidak diinginkan di rumah.,1
Orang tuaku tidak pernah menghargai usaha yang kulakukan.,1
Aku merasa sangat kesepian di tengah keluarga sendiri.,1
"Setiap kali ada masalah, aku selalu disalahkan.",1
Aku merasa tidak ada yang peduli dengan perasaanku di keluarga ini.,1
"Aku berharap hubungan keluargaku bisa lebih baik, tapi aku tidak tahu caranya.",1
Aku merasa sangat hancur melihat keluargaku berantakan.,1
Keluarga kami sering mengalami kesulitan finansial dan itu membuatku stres.,1
Aku merasa tidak pernah bisa membahagiakan orang tuaku.,1
Keluarga kami selalu penuh dengan ketegangan dan konflik.,1
Aku merasa sangat kecewa dengan sikap orang tuaku terhadapku.,1
Aku merasa tidak ada dukungan dari keluarga dalam hal apapun.,1
"Setiap kali ada masalah, keluargaku selalu memilih untuk bertengkar daripada mencari solusi.",1
Aku merasa sangat kesepian meskipun berada di tengah keluarga besar.,1
Aku merasa tidak ada yang memahami perasaanku di rumah.,1
Orang tuaku selalu membanding-bandingkan aku dengan saudara-saudaraku.,1
Aku merasa tidak ada tempat untukku di rumah ini.,1
bahagia,0
lelah,2
capek,2
depresi,2
stress,2
trauma,2
sangat sedih,1
rileks,0
